username,comment
rikihidayat13_,Slide terakhir meresahkan 🙌
wahid_dur,Erupsi apa guguran awan panas ini ?
adliirwnsyah,yang di rakum gimana
arie_intan,Min kabar pendaki yg di ranu kumbolo bagaimana
agsptraaa._,slide terakhir bukannya lari malah sibuk on kamera stay safe kawan semoga diberikan keselamatan dan perlindungan sang maha kuasa 🙏🏻🤲🏻
lompobattang_mountain2874,Semoga selalu dalam lindungan Allah SWT 😇
mstfaji33,Rakum resmi tutup yaa?😢
ikhsan.srf,"semoga lekas membaik semeru, semoga tidak ada korban jiwa😢"
sheihelo_,lekas membaik mahameru❤‍🩹🥀
elfs_active,Pray for semeru😢🤍
anggiriskiy,stay safe warga lumajang dan sekitar nya 🙌
ali_ingsun,Tmbang pasir melimpah 😂
adhepranata,"Jalur SRU 1 ini ndan @i.dewa.n.arya.a , colek tim kancil @purnomo_ipunk24 @hai_caktris @jokopranyoto"
riyandika191,Kameramen selalu selamat 🗿
achid_fdlh,Lelaki ingin tau bencana alam terjadi 😮
hildaanlm.rr,@xarst__ kasian ga jadi ke rakum
dibilbebasmerdeka_,Lekas Sembuh Mahameru 😭
ehs4min,mudah-mudahan diberikan keselamatan yang sedang di ranu kumbolo
davidfjr77,Semoga bulan Desember sudah baik Aamiin
ferdi.nw,Lekas membaik mahameruu😢❤️‍🩹
melukissenjakemarin,@mimiboonn rakum tutup besss 😢
akbarstwnz,pray for semeru😢❤️
adeiansupriatna,Greget bgt sama yg dijembatan malah pada rekam rekam udah diteriakin jg
anasnasrudin_,wahh padahal lg arp tak jak neng rakum je weki. yowis ra sido @muhaffif
klitikansemarang,revi meresahkan😢😢
tmblkk_,slide terakhir nyusahke timsar
widiiirnssss,lekas membaik Mahameru😢
azmwhyfaa_,Revi mbanggel tenan cu🔥
hamdanasy_,Semoga tidak ada korban
_bagasftr98,Slide terakhir mungkin lagi cari konten salam interaksi
sofarii04slamett,slide terakhir KREATOR SALAM INTERAKSI😢
fitrahmarafa,Slide 5 revi duncalke wae
salmaaa_rn,Lekas membaik semeru
modbooster_id,Cung yg greget sama si repi wkwkw☝
raf_wldn,"Waduh Selasa Depan Mau Ke Rakum
Bisa Ga Ya ?"
fiiq_fx,Habis ini merapi
richardferdyn_,Gk sido neh🥲 @abah_chengho
alinaloey_,Semoga mandali
jamlud_in,Terkendali mboten komandan? @msidiqasw
fanan_bin_misbah,"Wong² kunu nyowone 9 lur, ojo kaget😅🙏🏻"
muhammadfadjri_,lekas membaik❤️‍🩹🥀
kkhputraaa_,@rikosyahrul14 peralatan perang jangan lupa
t.yudiii,"@dvsvrm_ tiwas angil war tiker, eh"
muhd.akbarr,Baru aja Agustus kita main ke sekitar teras semeru😢 @cutzulfahusnaa
rydharsy_,@lutviyunita belum juga kesana dzah 😅
muhambimoooo,makin lama kondusifnya😢
anwarstrong,Kenapa Semeru erupsinya selalu mendekati akhir tahun ? 🤔
amsalmaulanaa,Apa kabar yg di Ranu Kumbolo
rangganee_70,Wong2 guuuwwwwoblok seng slide terakhir @javanese_king
billwayd,bisa gak awan panasnya mengarah ke dpr
pal_ganzz1,slide terakhir menyusahkan timnas
Meta,Meta AI
Meta,Meta AI Articles
Meta,Meta Verified
Meta,Meta in Indonesia
afahrezar,@nashirfd aman kh
nunungagustia,Sampe pronojiwo gaes @aprindoo @rizkyfauzi503
adtymlna22,mau ke bromo aman ga ya??😢
heyhendri___,gak jadi naik 😢😢 @mila.r_01
nrikarhm12,"hadu gimana ini, kita mau ke rakum @susansahara_ 😢"
ryand.webdev,@armulift wih hoki
